ingestDate,id,dataProvider,query
2018-04-09T21:02:40.463754Z,00ec993a15c51a695257f20c824e6676,"Special Collections and University Archives, University of Massachusetts Amherst Libraries",kittens
2018-04-09T18:02:42.340535Z,014a5630dc4ee56ed485f57ea72b17c9,University of North Carolina at Chapel Hill,kittens
2018-02-28T15:33:02.755478Z,0177ed33d84f1dfdc355fc4cdfb68e38,The Charleston Archive at CCPL,kittens
2018-04-11T13:52:35.587324Z,01b54b03973f2ed1e0f1cc2b5ed8c052,Art and Picture Collection. The New York Public Library,kittens
2018-03-06T17:51:30.650886Z,01d09526679cf439946279a4f37dc288,Los Angeles Public Library,kittens
2018-04-12T00:34:28.968234Z,01fa1a9f61c9db456080e81415badeb7,['University of Michigan'],kittens
2018-02-28T14:49:22.770883Z,021a5d811dcb58fcce7f3a70809950e6,Waring Historical Library (MUSC),kittens
2018-03-06T20:17:02.377044Z,0240e63874a5cf2c79c47b3d93c9c444,Indianapolis Museum of Art Archives,kittens
2018-03-06T15:24:21.517705Z,0270cb6ba41f7fa3e997232d99267cc6,"UC Berkeley, Bancroft Library",kittens
2018-03-13T21:34:19.487021Z,0293bf72b0cfde87e6f7a0cdf281b26f,Annie Belle Weaver Special Collections,kittens
2018-04-09T20:54:39.655318Z,040ea2dc4f480432614b11aeb8901bdc,"Special Collections and University Archives, University of Massachusetts Amherst Libraries",kittens
2018-04-18T03:22:08.295971Z,04b02338c39cfdaaefd825ee7d2ddb94,['National Museum of the Pacific War/Admiral Nimitz Foundation'],kittens
2018-02-28T14:49:18.576033Z,0509268dd4a832cfeedb10f6791f22be,Waring Historical Library (MUSC),kittens
2018-04-12T04:10:44.927595Z,05c61f17e9028dfe142c0ed0ac17aa17,['University of Michigan'],kittens
2018-04-04T21:31:47.220350Z,0604e9939988b1c11856543414ec475e,Utah State Historical Society,kittens
2018-02-05T22:46:44.518267Z,068da8e470b334213b31f4847a107f7e,University of Southern California. Libraries,kittens
2018-04-09T20:33:56.105606Z,06c48edae5e29f5118c95b15d883e520,"Special Collections and University Archives, University of Massachusetts Amherst Libraries",kittens
2018-03-06T16:18:30.130266Z,06effcab1bf94afa805ac68280396e01,"California State University, Chico",kittens
2018-04-10T04:05:29.093430Z,07861a5b8cc38f4d8a8fc88d14bb31f8,"Cooper Hewitt, Smithsonian Design Museum",kittens
2018-03-26T14:38:14.911981Z,0795627d5ff584e8d355185933fc99a2,Minnesota Historical Society,kittens
2018-04-11T17:56:16.583173Z,07db647843517226726e93083881b358,George Arents Collection. The New York Public Library,kittens
2018-03-06T16:24:41.359121Z,07e9c422fb9487c1d06df5ecd5ce8db3,Claremont Colleges Library,kittens
2018-04-17T23:09:56.055517Z,0803c619a3da2b69312f3c363c3f2bfd,['UNT Media Library'],kittens
2018-04-18T01:10:33.836590Z,090ec92fab7d771ef496e1066afe0183,['Private Collection of Joe E. Haynes'],kittens
2018-04-09T20:33:38.323636Z,0964ffad99a0380d97fdd2e862a9f7d5,"Special Collections and University Archives, University of Massachusetts Amherst Libraries",kittens
2018-04-04T21:53:24.435433Z,096653df255d33cc7b7ad2b2fb0fa003,University of Utah - J. Willard Marriott Library,kittens
2018-04-16T21:29:51.581810Z,0b78d40c81ffe29a68735d9a7c9bd10e,Milwaukee Public Library,kittens
2018-03-06T16:01:54.064103Z,0bb522eaf56e414681e9b499b9b9d8de,Los Angeles Public Library,kittens
2018-02-28T14:49:32.716583Z,0d458ea209ca5766a958dc3510914e72,The Charleston Archive at CCPL,kittens
2018-03-20T14:51:00.196999Z,0d64d8c19f46373d186c3df935d1059e,Rhodes College. Crossroads to Freedom,kittens
2018-03-06T20:10:57.216373Z,0dd2cb9edb4d8b36f476cb90361cd1d0,"Indiana University, Bloomington",kittens
2018-03-20T14:45:30.401655Z,0e12700d9feec2b322432f361964d641,Tennessee State Library and Archives,kittens
2018-04-11T18:05:52.648484Z,0e725a837fbee4b10368bc69c4f86391,Music Division. The New York Public Library,kittens
2018-04-10T06:04:46.571628Z,0eab15790780f53d02884cb65a33ef31,National Air and Space Museum Archives,kittens
2018-02-05T22:46:43.933038Z,0ef777e9646349142ece7531a0e88105,University of Southern California. Libraries,kittens
2018-03-06T20:14:27.840842Z,0ef8b5f4f54c4226af78a2602058e193,Grace College & Theological Seminary,kittens
2018-03-06T16:46:27.384517Z,0f3089d56525707bbb5e0986716b2009,Los Angeles Public Library,kittens
2018-03-26T15:15:16.716816Z,0f9ac9e16c3d6bd0a5b7353195e878a1,Minneapolis Institute of Arts,kittens
2018-04-11T18:32:02.521638Z,0fb2ccc5958f2c6a92fb7149c38ab0d7,Music Division. The New York Public Library,kittens
2018-04-09T19:44:10.076668Z,10bed53405e59eedf9518179459f300d,WGBH,kittens
2018-04-09T16:36:58.470757Z,10e03e0b59a5678a2d800ac91ef79ffc,Wildlife Conservation Society,kittens
2018-04-11T18:05:51.551140Z,132b97c8c2c8f9f219a9682952cb2277,Music Division. The New York Public Library,kittens
2018-02-28T14:44:55.267142Z,136337400fea94866ad0bd49bd027364,South Carolina Historical Society,kittens
2018-04-09T20:54:38.950461Z,139fb8d0dfc9d6f443ac3ab45673465e,"Special Collections and University Archives, University of Massachusetts Amherst Libraries",kittens
2018-04-20T14:19:13.686428Z,142e4ef3055145e4836d1919f01c6693,University of Michigan. Libraries,kittens
2018-03-26T14:45:57.051138Z,145e5622d03b52dd86aa7fe6c639dadc,Hennepin County Library,kittens
2015-12-21T23:58:19.934727Z,15a04c46cd727acf9fd2a4c7377243ab,"Special Collections, University of Virginia Library, Charlottesville, Va.",kittens
2018-03-26T12:33:37.267Z,15b13932841e25908aa77fb10074826b,West Chester University,kittens
2018-04-12T00:49:36.999404Z,177a274ae6da7bec697edbb80c96953f,['University of Michigan'],kittens
2018-04-16T21:04:55.384137Z,1781107a097762c617ac95570e7349e1,"['UW Digital Collections', 'University of Wisconsin Digital Collections']",kittens
2018-04-09T20:21:44.226520Z,178b2da1d626707490573c1c8a7cd5e8,National Museum of American History,kittens
2017-11-12T13:28:37.064129Z,187d14b2f4129a3037c93916d418a57f,Boston Public Library,kittens
2018-03-26T12:33:37.267Z,188f3b1de8d178d4d8f80b1cb9e1d797,Temple University,kittens
2018-04-18T02:48:14.755401Z,18d5b49640af76f5597f2039e0c56b85,['McFaddin-Ward House Museum'],kittens
2018-03-06T18:46:25.629870Z,1916d1a4111278e454b54401cbe0eb75,"San José State University, Special Collections and Archives",kittens
2018-03-26T15:04:07.655011Z,19322e5cb41617b2bec7ca0683a8bc7a,Hennepin County Library,kittens
2018-04-09T20:32:36.942271Z,1a6aa0b612747767b951bdd5df00c920,"Cooper Hewitt, Smithsonian Design Museum",kittens
2018-04-02T14:12:20.887714Z,1a8b95ef2c3fbb1bcf4d8b7a0b4c6b1a,Bradley University,kittens
2018-04-10T14:16:43.886820Z,1c02257ec2c272d66d5b79620855021e,"Cooper Hewitt, Smithsonian Design Museum",kittens
2018-04-09T18:55:49.687765Z,1c68757c170b36b71ed0000fcc6f0da2,East Carolina University,kittens
2018-02-14T09:24:53.072Z,1e96f8cda8b44af02e844240682deb56,National Archives at College Park - Still Pictures,kittens
2018-03-20T14:38:58.848644Z,1f78360d934ab1acf90fe2155df5fc58,Rhodes College. Crossroads to Freedom,kittens
2018-03-06T17:42:49.118994Z,2003cdf3f95a5e80094b4760a92bd1f9,California State Library,kittens
2018-03-26T12:33:37.267Z,203edbd8eccf7d44df42f4bf15117477,Temple University,kittens
2018-04-09T23:44:36.665583Z,211ef4c53aaa7ad000022b0d6d65d3a7,Smithsonian Libraries,kittens
2018-03-26T12:33:37.267Z,21351e55e72bd2d4daebe33d2e4b12d5,Temple University,kittens
2018-04-11T12:44:02.458532Z,21d9dcfa8b3a9915b389e8d83bb0f91b,"The Miriam and Ira D. Wallach Division of Art, Prints and Photographs: Print Collection. The New York Public Library",kittens
2018-02-05T21:14:13.946030Z,23570bdbbd7d9dceddbeca6b6ceb8989,California Historical Society,kittens
2018-04-10T08:19:08.907559Z,23e581123561f48e7f83a0a68b1dd7ba,Archives of American Art,kittens
2017-04-03T22:21:58.077151Z,23fe432d2b14c27fec43380c508adf6d,Missouri State Archives through Missouri Digital Heritage,kittens
2018-03-06T15:32:42.609382Z,24120db4357920629b7b4303c7e6fb7e,"UC Santa Barbara, Library, Department of Special Research Collections",kittens
2018-04-11T12:48:01.680964Z,249b894417d75163d391496117a94dfc,George Arents Collection. The New York Public Library,kittens
2018-04-09T20:33:58.880944Z,24eb3d227c73694343395dee0658cf4b,"Special Collections and University Archives, University of Massachusetts Amherst Libraries",kittens
